day,day_label,week,week_label,month,month_label,quarter,quarter_label,fiscalhalf,fiscalhalf_label,fiscalyear,fiscalyear_label,dayofweek,dayofweek_label,dayofseason,dayofseason_label,weekofyear,weekofyear_label,weakofseason,weakofseason_label
20150326,3/26/2015,W12_2015,3/27/2015,MAR_2015,March FY 2015,Q1_2015,Quarter 1 FY 2015,S1_2015,Season 1 FY 2015,A2015,FY2015,THR,Thursday,DOS83,DOS 83,WY13,Week 13,WS12,WOS 12
20150327,3/27/2015,W12_2015,3/27/2015,MAR_2015,March FY 2015,Q1_2015,Quarter 1 FY 2015,S1_2015,Season 1 FY 2015,A2015,FY2015,FRI,Friday,DOS84,DOS 84,WY13,Week 13,WS12,WOS 12
20150328,3/28/2015,W13_2015,4/3/2015,MAR_2015,March FY 2015,Q1_2015,Quarter 1 FY 2015,S1_2015,Season 1 FY 2015,A2015,FY2015,SAT,Saturday,DOS85,DOS 85,WY14,Week 14,WS13,WOS 13
20150329,3/29/2015,W13_2015,4/3/2015,MAR_2015,March FY 2015,Q1_2015,Quarter 1 FY 2015,S1_2015,Season 1 FY 2015,A2015,FY2015,SUN,Sunday,DOS86,DOS 86,WY14,Week 14,WS13,WOS 13
20150330,3/30/2015,W13_2015,4/3/2015,MAR_2015,March FY 2015,Q1_2015,Quarter 1 FY 2015,S1_2015,Season 1 FY 2015,A2015,FY2015,MON,Monday,DOS87,DOS 87,WY14,Week 14,WS13,WOS 13
20150331,3/31/2015,W13_2015,4/3/2015,MAR_2015,March FY 2015,Q1_2015,Quarter 1 FY 2015,S1_2015,Season 1 FY 2015,A2015,FY2015,TUE,Tuesday,DOS88,DOS 88,WY14,Week 14,WS13,WOS 13
20150401,4/1/2015,W13_2015,4/3/2015,MAR_2015,March FY 2015,Q1_2015,Quarter 1 FY 2015,S1_2015,Season 1 FY 2015,A2015,FY2015,WED,Wednesday,DOS89,DOS 89,WY14,Week 14,WS13,WOS 13
20150402,4/2/2015,W13_2015,4/3/2015,MAR_2015,March FY 2015,Q1_2015,Quarter 1 FY 2015,S1_2015,Season 1 FY 2015,A2015,FY2015,THR,Thursday,DOS90,DOS 90,WY14,Week 14,WS13,WOS 13
20150403,4/3/2015,W13_2015,4/3/2015,MAR_2015,March FY 2015,Q1_2015,Quarter 1 FY 2015,S1_2015,Season 1 FY 2015,A2015,FY2015,FRI,Friday,DOS91,DOS 91,WY14,Week 14,WS13,WOS 13
20150404,4/4/2015,W14_2015,4/10/2015,APR_2015,April FY 2015,Q2_2015,Quarter 2 FY 2015,S2_2015,Season 2 FY 2015,A2015,FY2015,SAT,Saturday,DOS01,DOS 01,WY15,Week 15,WS01,WOS 01
